Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1003826|ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND|WAVERLY|VA|23890|3474 ATLANTIC LN|37.061279|-77.177106|187533.9166|494.129073|187039.3009|0.486634|494.892007|
1003034|AUBURN SANITARY LANDFILL NO 2|AUBURN|NY|13021|311 NORTH DIVISION STREET|42.951487|-76.586758|24933.3|92.3|24841||92.3|
1005000|AUDUBON METALS LLC|HENDERSON|KY|42420|3055 OHIO DR.|37.80629|-87.63353|35982.964|35945.7|17|20.264|35982.964|
1006344|AUGUSTA COUNTY SVC AUTHORITY LANDFILL|STAUNTON|VA|24401|749 Christians Creek Road|38.0781|-79.0635|91947.25|39|91908.25||39|
1005945|AUSTIN UTILITIES NORTHEAST POWER STATION|AUSTIN|MN|55912|3511 11TH ST. N.E.|43.7014|-92.9626|4961.278|4932.6|10.5|18.178|189.7|4771.578
1007346|AUSTIN WHITE LIME COMPANY MCNEIL PLANT & QUARRY|AUSTIN|TX|78728|14001 MCNEIL ROAD|30.45407|-97.72091|373300.04|244479.1|4844|123976.94|223029.44|
1006132|AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY|ZEELAND|MI|49464|700 56TH AVENUE|42.780647|-85.920569|88772.33566|354.313372|88417.33153|0.690764|355.311461|
1005770|AUX SABLE LIQUID PRODUCTS INC|MORRIS|IL|60450|6155 EAST U.S. ROUTE 6|41.41781|-88.30372|207597.768|207383.5|97.75|116.518|207597.768|
1003033|AVA LANDFILL|AVA|NY|13303|7044 ST RTE 294|43.461|-75.412|62072.148|110.1|61961.75|0.298|110.398|
1003328|AVENAL REGIONAL LANDFILL|AVENAL|CA|93204|1200 Skyline Blvd|36.01195|-120.11535|60997.5||60997.5|||
1003082|AVINGER GAS PLANT|Avinger|TX|75630|2339 Avinger Cut Off Road|32.854676|-94.59315|34089.772|34054.7|16|19.072|34089.772|
1007682|AZUSA LAND RECLAMATION CO INC INERT LF|AZUSA|CA|91702|1211 W GLADSTONE ST|34.11432|-117.92861|105657.2375||105657.2375|||
1000378|Abbott Laboratories|Casa Grande|AZ|85193|1250 West Maricopa Highway|32.894|-111.78312|26573.7|26546.3|12.5|14.9|26573.7|
1003205|Abbott Nutrition - A Division of Abbott Laboratories|ALTAVISTA|VA|24517|1518 MAIN STREET|37.130556|-79.267778|27525.194|27496.4|13|15.794|27525.194|
1007357|Abilene Regional Landfill|Abilene|TX|79601||32.534633|-99.753812|83297.5||83297.5|||
1001347|Acadia Power Station|EUNICE|LA|70535|30385 CROWLEY EUNICE HWY|30.4284|-92.4112|1226380.756|1225135.7|568|677.056||1226380.756
1000125|Ackerman Combined Cycle|ACKERMAN|MS|39735|2510 PENSACOLA ROAD|33.3806|-89.2039|1043064.784|1042005.5|483.25|576.034|59.4|1043005.384
1003446|Ada County Solid Waste Management|Boise|ID|83714|10300 Seaman's Gulch Road|43.705695|-116.281228|165358.696|345.1|165013|0.596|345.946|
1000603|Addis Carbon Black Plant|Addis|LA|70710|5221 Sid Richardson Road|30.3288|-91.2792|326844.83|326840.6|1.25|2.98|2832.83|
1000089|AdvanSix Resins & Chemicals LLC|PHILADELPHIA|PA|19137|2501 MARGARET STREET|40.0067|-75.0686|125942.53|125764|71.25|107.28|125942.53|
1006553|Advanced Tri-Gen Power Systems, LLC|Mossville|IL|61552|1823 East Neal Lane|40.84299|-89.56419|125856.376|125726.5|59.25|70.626|125856.376|
1002316|Aera Energy 25 Hill|Maricopa|CA|93252|29235 Highway 33|35.09233|-119.407371|161565.644|161399.6|75.75|90.294|161565.644|
1002156|Aera Energy Alberta Finley Shale|Fellows|CA|93224|25401 Highway 33|35.23147|-119.57948|126851.572|126720.6|59.75|71.222|126851.572|
1006844|Aera Energy Anderson Fitzgerald|McKittrick|CA|93251|59231 Main Camp Road|35.299879|-119.742604|97109.584|97009.3|45.75|54.534|97109.584|
