Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation||||||||||||||||||||||||||||||||||||||
1005809|AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT|CATLETTSBURG|KY|41129|11631 US Route 23|38.37673|-82.60581|149439.1|149439.1||||||||||||||||||||||||||||||||||||||||||
1002727|AIR PRODUCTS AND CHEMICALS INC - GARYVILLE|GARYVILLE|LA|70051|4663 W AIRLINE HWY|30.09959|-90.648851|910959.8|910959.8||||||||||||||||||||||||||||||||||||||||||
1002123|AIR PRODUCTS AND CHEMICALS INCORPORATED|SACRAMENTO|CA|95826|5025 83RD STREET|38.529722|-121.398889|45453.9|45453.9||||||||||||||||||||||||||||||||||||||||||
1002430|AIR PRODUCTS BAYTOWN PLANT|BAYTOWN|TX|77520|5503 WEST BAKER ROAD|29.757778|-95.023056|59959.824|59897.9|28.25|33.674|59959.824|||||||||||||||||||||||||||||||||||||||
1002257|AIR PRODUCTS CARSON HYDROGEN PLANT|CARSON|CA|90810|23300 SOUTH ALAMEDA STREET|33.812778|-118.231389|711871.5|711871.5||||||||||||||||||||||||||||||||||||||||||
1002435|AIR PRODUCTS WILMINGTON HYDROGEN PLANT|WILMINGTON|CA|90744|700 HENRY FORD AVENUE|33.780833|-118.241111|769824.62|769236.9|173.5|414.22||||||||||||||||||||||||||||||||||||||||
1006088|AKRON REGIONAL LANDFILL *|AKRON|OH|44313|1585 HARDY ROAD|41.151282|-81.559298|1669.25||1669.25|||||||||||||||||||||||||||||||||||||||||
1005149|AL CORN CLEAN FUEL|CLAREMONT|MN|55924|797 5th Street|44.049412|-93.017379|203160.136|202950.8|95.5|113.836|203160.136|||||||||||||||||||||||||||||||||||||||
1000129|AL Sandersville|WARTHEN|GA|31094|1600 MILLS LINDSEY SCHOOL ROAD|33.1189|-82.8608|104385.06|104278.2|48.75|58.11||104385.06||||||||||||||||||||||||||||||||||||||
1007917|ALABAMA RIVER CELLULOSE, LLC|PERDUE HILL|AL|36470|2373 LENA LANDEGGER HWY|31.580112|-87.490073|362369.026|247123.5|109013.75|6231.776|98764.188|||||||||||||||||||||||||||||||||||||||
1007272|ALADDIN MILLS - ANTIOCH RD PLA NT|DALTON|GA|30720|2001 ANTIOCH ROAD|34.73399|-84.94646|35587.164|35549.9|17|20.264|35587.164|||||||||||||||||||||||||||||||||||||||
1006276|ALBANY LANDFILL|ALBANY|NY|12205|525 RAPP RD|42.70324|-73.84958|51551.75||51551.75|||||||||||||||||||||||||||||||||||||||||
1003402|ALBEMARLE CORPORATION HOUSTON PLANT|PASADENA|TX|77503|2500 N. SOUTH ST.|29.742498|-95.165513|44964.018|44914.9|22|27.118|44964.018|||||||||||||||||||||||||||||||||||||||
1004307|ALBEMARLE CORPORATION-SOUTH PLANT|MAGNOLIA|AR|71753|2270 HWY 79 SOUTH OF MAGNOLIA|33.1756|-93.2169|82972.088|82886.6|39|46.488|82972.088|||||||||||||||||||||||||||||||||||||||
1001877|ALCOA INC - WARRICK OPERATIONS|NEWBURGH|IN|47629||37.915|-87.3328|5466627.45|5223496.9|14851.25|25741.836|28944.592|5062651.994||||||||||||||||||||||||||||||||||||||
1003562|ALCOA INTALCO WORKS|FERNDALE|WA|98248|4050 MOUNTAIN VIEW RD.|48.8455|-122.7055|9286.044|1385.4|7899.75|0.894|1387.044|||||||||||||||||||||||||||||||||||||||
1003147|ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL|Friendsville|TN|37737|240 Long Powers Road|35.73834|-84.05978|87754.5||87754.5|||||||||||||||||||||||||||||||||||||||||
1004335|ALL PURPOSE LANDFILL|SANTA CLARA|CA|95050|5401 Lafayette Street|37.4135|-121.9724|41527||41527|||||||||||||||||||||||||||||||||||||||||
1005862|ALLEGANY BALLISTICS LABORATORY|KEYSER|WV|26726|210 STATE ROUTE 956|39.56097|-78.84361|23694.06|23669.4|11.25|13.41|23694.06|||||||||||||||||||||||||||||||||||||||
1007192|ALLEN COUNTY PUBLIC WORKS|LA HARPE|KS|66751|1170 2800TH ST|37.901209|-95.280776|67175.9|62.6|67083.5|29.8|97.4|||||||||||||||||||||||||||||||||||||||
1007645|ALLIANCE SANI LDFL|TAYLOR|PA|18517|398 KEYSER AVENUE|41.3965|-75.7375|46422.848|641.8|45780.75|0.298|642.348|||||||||||||||||||||||||||||||||||||||
1006197|ALLIED IMPERIAL LANDFILL|IMPERIAL|CA|92251|104 EAST ROBINSON ROAD|32.854701|-115.52505|33559.5||33559.5|||||||||||||||||||||||||||||||||||||||||
1000048|ALLISON TRANSMISSION, Inc.|INDIANAPOLIS|IN|46222|One Allison Way|39.779861|-86.240969|6229.848|6208.4|6.25|15.198|6229.848|||||||||||||||||||||||||||||||||||||||
1004327|ALMATIS INC - BAUXITE ARKANSAS|Benton|AR|72015|4701 ALCOA ROAD|34.57522|-92.53173|67719.696|67650.1|31.75|37.846|67719.696|||||||||||||||||||||||||||||||||||||||
1007622|ALON REFINING KROTZ SPRINGS INC|KROTZ SPRINGS|LA|70750|356 S. LEVEE RD|30.526504|-91.748383|549791.67|545742.4|1966.25|2083.02|278067.97|||||||||||||||||||||||||||||||||||||||
1007291|ALPHA RIDGE LANDFILL|MARRIOTTSVILLE|MD|21104|2350 MARRIOTTSVILLE ROAD|39.30718|-76.89862|21114.928|77.4|21034.25|3.278|81.928|||||||||||||||||||||||||||||||||||||||
1013670|ALTIVIA Institute Facilities|Dunbar|WV|25064|250 Carbide Rd|38.384705|-81.776181|105582.152|105473.1|49.75|59.302|105582.152|||||||||||||||||||||||||||||||||||||||
1007401|ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX|HAVERHILL|OH|45636|1019 HAVERHILL OHIO FURNACE ROAD|38.59167|-82.81944|27363.796|27335.3|13|15.496|27363.796|||||||||||||||||||||||||||||||||||||||
1007263|ALTO COLUMBIA LLC|BOARDMAN|OR|97818|71335 RAIL LOOP DRIVE|45.855921|-119.656083|39160.352|39119.8|18.5|22.052|39160.352|||||||||||||||||||||||||||||||||||||||
1007264|ALTO MAGIC VALLEY LLC|BURLEY|ID|83318|2600 WASHINGTON AVENUE|42.521324|-113.815693|56649.236|56590.6|26.75|31.886|56649.236|||||||||||||||||||||||||||||||||||||||
1003268|ALTON STEEL COMPANY|ALTON|IL|62002|#5 CUT ST.|38.88321|-90.14503|22162.344|22147|7|8.344|15072.644|||||||||||||||||||||||||||||||||||||||
1005184|ALYESKA PIPELINE SE/TAPS PUMP STATION 01|PRUDHOE BAY|AK|99734||70.257222|-148.617778|68736.592|68665.9|32.25|38.442|68736.592|||||||||||||||||||||||||||||||||||||||
1005781|ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal|VALDEZ|AK|99686|300 DAYVILLE ROAD|61.084857|-146.388531|21050.856|20978.1|21.5|51.256|21050.856|||||||||||||||||||||||||||||||||||||||
1005491|AM/NS Calvert, LLC|CALVERT|AL|36513|1 AM/NS Way|30.8|-88.1|518893.396|518358|244.25|291.146|518893.396|||||||||||||||||||||||||||||||||||||||
1005712|AMALGAMATED SUGAR CO LLC|TWIN FALLS|ID|83301|2320 ORCHARD DR. E.|42.531995|-114.431448|231526.702|230940.9|228.5|357.302|216468.702|||||||||||||||||||||||||||||||||||||||
1006412|AMALGAMATED SUGAR CO LLC|PAUL|ID|83347|50 SOUTH 500 WEST|42.611671|-113.757423|285565.916|275239.9|10015.5|310.516|234339.716|||||||||||||||||||||||||||||||||||||||
